,tweet_id,handle,retweet_count,text,mined_at,created_at
79,989851170545029120,JeffBezos,1139,"Launch preparations are underway for New Shepard’s 8th test flight, as we continue our progress toward human spacef… https://t.co/06mpFFOGEs",2021-08-03 16:36:42.400558,Fri Apr 27 12:58:04 +0000 2018
80,988154007813173248,JeffBezos,1232,"Dog sledding above the Arctic Circle in Norway. Jim Lovell says it’s not that you go to heaven when you die, but “y… https://t.co/RMzvR6gPaF",2021-08-03 16:36:42.400558,Sun Apr 22 20:34:09 +0000 2018
81,987494749559926784,JeffBezos,291,Honored to speak at @TheBushCenter Forum on Leadership tonight with Ken Hersh. The spirit of former First Lady Barb… https://t.co/QMesSS9bla,2021-08-03 16:36:42.400558,Sat Apr 21 00:54:29 +0000 2018
82,986547483743436801,JeffBezos,902,At @BestBuy catching up with CEO Hubert Joly and announcing our collaboration on the next generation of smart TVs.… https://t.co/nDSF6XZFa3,2021-08-03 16:36:42.400558,Wed Apr 18 10:10:23 +0000 2018
83,986016459351515136,JeffBezos,3747,"Great reporting requires patience, grit and a willingness to follow a story wherever it leads, whether Alabama or M… https://t.co/5TNlXLfffS",2021-08-03 16:36:42.400558,Mon Apr 16 23:00:17 +0000 2018
84,985682558405885952,JeffBezos,388,I love Dwayne Johnson @TheRock. Still working on my smolder https://t.co/8GmuZIyFwK https://t.co/WyckQV6rrY,2021-08-03 16:36:42.400558,Mon Apr 16 00:53:29 +0000 2018
85,985664806567927808,JeffBezos,531,Very comfortable on my kids’ giant panda doing email and putting final touches on this year’s annual shareholder le… https://t.co/GWi7fEefH4,2021-08-03 16:36:42.400558,Sun Apr 15 23:42:57 +0000 2018
86,985300754134007809,JeffBezos,559,I made pancakes on this rainy Seattle morning for @ciara and @DangeRussWilson. These guys are as fun as they are ta… https://t.co/NkQ5Rkt0Rf,2021-08-03 16:36:42.400558,Sat Apr 14 23:36:20 +0000 2018
87,981311629022314496,JeffBezos,2064,Horrible and truly tragic day for YouTube and Google. We are wishing all our very best for the injured and all those affected.,2021-08-03 16:36:42.400558,Tue Apr 03 23:24:58 +0000 2018
88,975847153468768256,JeffBezos,6892,Taking my new dog for a walk at the #MARS2018 conference. #BostonDynamics https://t.co/vE6CXrvV3o,2021-08-03 16:36:42.400558,Mon Mar 19 21:31:06 +0000 2018
